user_name,bid_no,name_of_work,category,department_name,quantity,emd,exemption_allowed,estimation_value,state,location,apply_mode,website_link,document_link,attachment_link,end_date
mahi,GEM/2025/B/6397627,PROCUREMENT AND INSTALLATION OF S6 TVRO SYSTEM (MALE: KNS) INCLUDING SECURING OF CABLES AND COMMISS,,Ministry of Defence - Department of Military Affairs,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8027058,https://bidplus.gem.gov.in/showbidDocument/8027058,08-08-2025 16:00:00
mahi,GEM/2025/B/6437877,Custom Bid for Services - Ambulance with 01 Permanent Stretcher and 01 Foldable Stretcher etc,,PMO - Department of Atomic Energy,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8072254,https://bidplus.gem.gov.in/showbidDocument/8072254,08-08-2025 15:00:00
mahi,GEM/2025/B/6365225,"Lumpsum supply of Barriers,line 2 Removal Installation and Commissioning,Lumpsum supply of Panel wi",,Ministry of Petroleum and Natural Gas - NA,6,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7990071,https://bidplus.gem.gov.in/showbidDocument/7990071,08-08-2025 15:00:00
mahi,GEM/2025/B/6323824,"GSKT, FR, NBR, 5 MM, ID 183.5 X OD 203",,Ministry of Steel - Rashtriya Ispat Nigam Limited,10000,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7943612,https://bidplus.gem.gov.in/showbidDocument/7943612,08-08-2025 11:00:00
mahi,GEM/2025/B/6498290,Refilling of Industrial Gases in Cylinders - Refilling of IOLAR 1 Grade Argon Gas; Cubic Meter,,PMO - Department of Atomic Energy,565,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8140740,https://bidplus.gem.gov.in/showbidDocument/8140740,08-08-2025 15:00:00
mahi,GEM/2025/B/6457471,ALLOY ANALYSER RECHARGABLE BATTERIES WITH CHARGER AND ADAPTER,,Ministry of Defence - Department of Military Affairs,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8094638,https://bidplus.gem.gov.in/showbidDocument/8094638,08-08-2025 12:00:00
mahi,GEM/2025/B/6443614,Integrated Dual Rotor 80mm fans,,PMO - Department of space,10,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8078685,https://bidplus.gem.gov.in/showbidDocument/8078685,08-08-2025 15:00:00
mahi,GEM/2025/B/6443320,"Bone Awl with eye 8 inch,Malleolar bone holding forceps ratchet 8 one by four inch,Bone Reduction f",,Ministry of Health and Family Welfare - Department of Health and Family Welfare,2787,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8078361,https://bidplus.gem.gov.in/showbidDocument/8078361,08-08-2025 18:00:00
mahi,GEM/2025/B/6443281,1600W AC Power Supply,,PMO - Department of space,8,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8078317,https://bidplus.gem.gov.in/showbidDocument/8078317,08-08-2025 15:00:00
mahi,GEM/2025/B/6433786,P2.5 Indoor LED screen,,Ministry of Defence - Department of Defence,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8067674,https://bidplus.gem.gov.in/showbidDocument/8067674,08-08-2025 18:00:00
mahi,GEM/2025/B/6428806,Fabrication and supply of FRP carrier (empty) without SS SInker,,Ministry of Defence - Department of Military Affairs,2,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8062199,https://bidplus.gem.gov.in/showbidDocument/8062199,08-08-2025 11:00:00
mahi,GEM/2025/B/6427022,REPAIR OF UNIVERSAL CALIBRATOR FLUKE 5080,,Ministry of Defence - Department of Military Affairs,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8060191,https://bidplus.gem.gov.in/showbidDocument/8060191,08-08-2025 14:00:00
