user_name,bid_no,name_of_work,category,department_name,quantity,emd,exemption_allowed,estimation_value,state,location,apply_mode,website_link,document_link,attachment_link,end_date
mahi,GEM/2025/B/6493433,"Alternator 24V,Pilot Bearing,Pilot Bearing,Gear Box Oil Seal,Tail Light Assy,Rubber Bush Upper,Brak",,Ministry of Defence - Department of Military Affairs,31,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8135211,https://bidplus.gem.gov.in/showbidDocument/8135211,08-08-2025 20:00:00
mahi,GEM/2025/B/6493381,"Unit Camp Inverter,Carburator Assy,Oil Seal,Copper Washer,Banjo Bolt",,Ministry of Defence - Department of Military Affairs,9,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8135153,https://bidplus.gem.gov.in/showbidDocument/8135153,08-08-2025 20:00:00
mahi,GEM/2025/B/6493274,"Fuel water Seperator,Fuel filter Head fuel filter,Spide bearing outer lock,Assy Padding Door RH,Ass",,Ministry of Defence - Department of Defence,102,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8135027,https://bidplus.gem.gov.in/showbidDocument/8135027,09-08-2025 19:00:00
mahi,GEM/2025/B/6493072,"Knuckle Bush,Assy Propeller Shaft frt,Hose Radiator,Injector,Front Brake Shoe Assy with liner,Rear ",,Ministry of Defence - Department of Defence,39,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8134797,https://bidplus.gem.gov.in/showbidDocument/8134797,09-08-2025 18:00:00
mahi,GEM/2025/B/6467755,"2H.894.06.0.00,34.016.15.0.00,4H.024.13.0.00,4H.024.12.0.00,F 002 H20 306,F 002 H20 308,4H.399.02.0",,Ministry of Defence - Department of Defence,9,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8106197,https://bidplus.gem.gov.in/showbidDocument/8106197,08-08-2025 13:00:00
mahi,GEM/2025/B/6467068,"LP01-16-460B,LP01-16-410B,FE62-16-510B,LP01-25-060,W001-25-321,W002-25-150,LP01-33-301,0680-28-330,",,Ministry of Defence - Department of Defence,112,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8105407,https://bidplus.gem.gov.in/showbidDocument/8105407,08-08-2025 11:00:00
mahi,GEM/2025/B/6466841,"1465134748,1468376023,1467030308,1466100401,2464633002,2460300005,2463100002,F002D11037 36,14661116",,Ministry of Defence - Department of Defence,38,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8105154,https://bidplus.gem.gov.in/showbidDocument/8105154,08-08-2025 11:00:00
mahi,GEM/2025/B/6498470,"Split Air Conditioner Including Green AC, Wall Mount Type (V2)",,Comptroller and Auditor General (CAG) of India - Indian Audit and Accounts Department,33,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8140948,https://bidplus.gem.gov.in/showbidDocument/8140948,08-08-2025 17:00:00
mahi,GEM/2025/B/6465846,"Rocker Assy,Gasket Set,Fuel Pump Assy,Self Starter Assy,Feed Pump,Cam shaft with bearing",,Ministry of Defence - Department of Military Affairs,7,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8104019,https://bidplus.gem.gov.in/showbidDocument/8104019,08-08-2025 11:00:00
mahi,GEM/2025/B/6444813,"A3 Printer,All In One PC,All In One PC Type02,Wireless Access Point (V2),Line Interactive UPS with ",,Ministry of Education - Department of Higher Education,28,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8080061,https://bidplus.gem.gov.in/showbidDocument/8080061,09-08-2025 10:00:00
mahi,GEM/2025/B/6446825,"Oxygen Flow Meter,BP Cuff,Battery,Bulb,Relay",,Ministry of Defence - Department of Military Affairs,19,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8082337,https://bidplus.gem.gov.in/showbidDocument/8082337,09-08-2025 17:00:00
mahi,GEM/2025/B/6509388,Hiring of Sanitation Service - Manpower Based Model - Sweeper; 6; All Areas; All Areas; Daily; 1,,Ministry of Defence - Department of Military Affairs,67,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8153572,https://bidplus.gem.gov.in/showbidDocument/8153572,09-08-2025 20:00:00
