user_name,bid_no,name_of_work,category,department_name,quantity,emd,exemption_allowed,estimation_value,state,location,apply_mode,website_link,document_link,attachment_link,end_date
kali,GEM/2025/B/6203250,"EA5516B-MAP96(MAIN ANNUNCIATOR PANEL),EA5516B-CDK60-1(FULL UNIT CDK60),EA5516B-CDK60-005(SS DIAPHRA",,Ministry of Defence - Department of Military Affairs,29,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7809698,https://bidplus.gem.gov.in/showbidDocument/7809698,30-07-2025 12:00:00
kali,GEM/2025/B/6369133,"PL, WEAR, AUSTENITIC MnSTL, 350x225x70mm,PLATE, LINER, 760X600X80MM, DWG: 3301270026,CRG LNR SEG CL",,Ministry of Steel - Rashtriya Ispat Nigam Limited,440,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7994457,https://bidplus.gem.gov.in/showbidDocument/7994457,30-07-2025 10:00:00
kali,GEM/2025/B/6273532,Manpower Outsourcing Services - Minimum wage - Highly-Skilled; Graduate; Non-IT Technical,,Ministry of Defence - Department of Military Affairs,4,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7887531,https://bidplus.gem.gov.in/showbidDocument/7887531,31-07-2025 09:00:00
kali,GEM/2025/B/6378065,"Annual Maintenance service-AIR CONDITIONER,Annual Maintenance service-AIR CONDITIONER,Annual Mainte",,Ministry of Power - NA,27,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8004852,https://bidplus.gem.gov.in/showbidDocument/8004852,02-08-2025 11:00:00
kali,GEM/2025/B/6372256,Custom Bid for Services - Hiring of Hydraulic Fracturing,,Ministry of Petroleum and Natural Gas - OIL INDIA Limited,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7998048,https://bidplus.gem.gov.in/showbidDocument/7998048,29-07-2025 15:00:00
kali,GEM/2025/B/6304593,Security Manpower Service (Version 2.0) - Office/Commercial/Institutions/ Residential; Unarmed Secu,,Ministry of Defence - Department of Defence,22,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7922313,https://bidplus.gem.gov.in/showbidDocument/7922313,30-07-2025 10:00:00
kali,GEM/2025/B/6253404,"AKWN 436436 002 AKWN 436436 002 02,KrAN 465644 013,AKWN 468733 00803,AKWN 468369 011 01,AKWN 435121",,Ministry of Defence - Department of Military Affairs,11,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7865227,https://bidplus.gem.gov.in/showbidDocument/7865227,29-07-2025 15:00:00
kali,GEM/2025/B/6428135,Electromagnetic Conductivity and Magnetic Susceptibility Meter,,Ministry of Petroleum and Natural Gas - Indian Institute of Petroleum and Energy,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8061450,https://bidplus.gem.gov.in/showbidDocument/8061450,29-07-2025 16:00:00
kali,GEM/2025/B/6429574,"Solar Simulator with Xenon Lamp,Optical Fiber,Air Mass Filter,Power Intensity Meter,Warranry",,Ministry of Education - Department of Higher Education,5,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8063034,https://bidplus.gem.gov.in/showbidDocument/8063034,29-07-2025 17:00:00
kali,GEM/2025/B/6369763,"MOT, SQIM, 415V, 250 ML, 4P, 55KW,MOT, SQIM DOL, 415V, 4P, 37KW,MOT, SQIM DOL, 415V, 160ML, 4 POLE,",,Ministry of Steel - Rashtriya Ispat Nigam Limited,20,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7995236,https://bidplus.gem.gov.in/showbidDocument/7995236,02-08-2025 12:00:00
kali,GEM/2025/B/6493290,Pneumatic Tyres for Commercial Vehicles - Diagonal and Radial Ply Marked to IS 15636,,Ministry of Petroleum and Natural Gas - NA,14,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8135044,https://bidplus.gem.gov.in/showbidDocument/8135044,04-08-2025 19:00:00
kali,GEM/2025/B/6492628,Pneumatic Tyres for Commercial Vehicles - Diagonal and Radial Ply Marked to IS 15636,,Ministry of Petroleum and Natural Gas - NA,8,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8134281,https://bidplus.gem.gov.in/showbidDocument/8134281,04-08-2025 19:00:00
kali,GEM/2025/B/6491996,"Original Drum for Sharp , Model-6023,Original Developer for Sharp , Model-6023,Original Cleaning Bl",,Ministry of Defence - Department of Military Affairs,5,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8133589,https://bidplus.gem.gov.in/showbidDocument/8133589,04-08-2025 17:00:00
kali,GEM/2025/B/6442780,"Expansion Joint (SP-8101),Supervision Charges",,Ministry of Petroleum and Natural Gas - NA,11,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8077773,https://bidplus.gem.gov.in/showbidDocument/8077773,30-07-2025 15:00:00
kali,GEM/2025/B/6411907,"Handling and Transport on Lumpsum Basis - Transport Service,Handling and Transport on Lumpsum Basis",,Ministry of Chemicals and Fertilizers - Department of Fertilizers,2,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8042984,https://bidplus.gem.gov.in/showbidDocument/8042984,31-07-2025 16:00:00
kali,GEM/2025/B/6371690,Repair and Overhauling Service - REPAIR/ REFURBISHMENT OF GT AND GTG MAIN FUEL FNT FILTERS; REPAIR/,,Ministry of Defence - Department of Military Affairs,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7997427,https://bidplus.gem.gov.in/showbidDocument/7997427,04-08-2025 17:00:00
kali,GEM/2025/B/6348799,"Cleaning, Sanitation and Disinfection Service - Outcome Based - Office/Commercial/Institutions/Resi",,Ministry of Defence - Department of Military Affairs,52418,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7971727,https://bidplus.gem.gov.in/showbidDocument/7971727,29-07-2025 17:00:00
kali,GEM/2025/B/6210353,"2005375,2005378,2005379,2005381,2005383,2005386,2005390,2005377,2005400,2005406,2005407,2005408,200",,Ministry of Steel - Rashtriya Ispat Nigam Limited,236,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7817395,https://bidplus.gem.gov.in/showbidDocument/7817395,05-08-2025 10:00:00
kali,GEM/2025/B/6439711,Winter Jacket,,Ministry of Railways - Indian Railways,3835,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8074315,https://bidplus.gem.gov.in/showbidDocument/8074315,04-08-2025 18:00:00
