user_name,bid_no,name_of_work,category,department_name,quantity,emd,exemption_allowed,estimation_value,state,location,apply_mode,website_link,document_link,attachment_link,end_date
mahi,GEM/2025/B/6421414,Custom Bid for Services - Provding Internet leasedline connections for CCC & EM locking system,,Ministry of Petroleum and Natural Gas - Bharat Petroleum Corporation Ltd,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8053625,https://bidplus.gem.gov.in/showbidDocument/8053625,02-08-2025 15:00:00
mahi,GEM/2025/B/6393228,Custom Bid for Services - Custom Bid for Services - Rate Contract For Supply of Orthopaedic Trauma ,,Ministry of Labour and Employment - Employees State Insuarnce Corporation,106,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8021863,https://bidplus.gem.gov.in/showbidDocument/8021863,02-08-2025 13:00:00
mahi,GEM/2025/B/6339838,"EF3020B-F11031(STOP PUSH BUTTON RED),EF3020B-7692-3205(150MM FIRE SAFE VALVE-TYPE IV),EF3020B-7692-",,Ministry of Defence - Department of Military Affairs,18,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7961507,https://bidplus.gem.gov.in/showbidDocument/7961507,02-08-2025 11:00:00
mahi,GEM/2025/B/6288923,"EM7160D-51001325(BEARINGS KIT FOR PULLEY),EM7160D-55000104(LIMIT SWITCH),EM7160D-21300435(WIRE ROPE",,Ministry of Defence - Department of Military Affairs,341,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7904589,https://bidplus.gem.gov.in/showbidDocument/7904589,02-08-2025 10:00:00
mahi,GEM/2025/B/6420613,Specification for Ladle well mix of 95% self-opening on supply cum application on per heat basis.,,Ministry of Steel - Rashtriya Ispat Nigam Limited,20000,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8052731,https://bidplus.gem.gov.in/showbidDocument/8052731,02-08-2025 16:00:00
mahi,GEM/2025/B/6446163,Custom Bid for Services - Hiring of passenger vehicles on Regular Basis and On call Basis for a per,,Ministry of Petroleum and Natural Gas - OIL INDIA Limited,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8081579,https://bidplus.gem.gov.in/showbidDocument/8081579,02-08-2025 14:00:00
mahi,GEM/2025/B/6446101,"Title1,Title2,Title3,Title4,Title5,Title6",,PMO - Department of Atomic Energy,15,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8081504,https://bidplus.gem.gov.in/showbidDocument/8081504,02-08-2025 09:00:00
mahi,GEM/2025/B/6445969,Varnishes or Shellac Varnish as per IS 347,,PMO - Department of Atomic Energy,60,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8081359,https://bidplus.gem.gov.in/showbidDocument/8081359,02-08-2025 09:00:00
mahi,GEM/2025/B/6445889,Supply of Complete set of flocculant transfer pump with Motor,,PMO - Department of Atomic Energy,3,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8081265,https://bidplus.gem.gov.in/showbidDocument/8081265,02-08-2025 09:00:00
mahi,GEM/2025/B/6445717,Wear resistant Blind deck panels for teritary screen,,PMO - Department of Atomic Energy,4,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8081070,https://bidplus.gem.gov.in/showbidDocument/8081070,02-08-2025 09:00:00
