user_name,bid_no,name_of_work,category,department_name,quantity,emd,exemption_allowed,estimation_value,state,location,apply_mode,website_link,document_link,attachment_link,end_date
vijay,GEM/2025/B/6359048,"Seesaw for Playground (V2),Play Ground Merry Go Round  (V2),Outdoor Slide (V2),Garden Swings",,Ministry of Power - POWER GRID Corporation OF INDIA Limited,8,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7983144,https://bidplus.gem.gov.in/showbidDocument/7983144,30-07-2025 11:00:00
vijay,GEM/2025/B/6440216,Lab Setup Items for ITI,, - Skill Development & Entrepreneurship,1,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8074868,https://bidplus.gem.gov.in/showbidDocument/8074868,31-07-2025 10:00:00
vijay,GEM/2025/B/6441960,"17120-81A00,17400M83003,15410M830A0,34910M80021,34100M80021,22100M83060,22400M83060,23265-70C00,137",,Ministry of Defence - Department of Defence,30,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8076841,https://bidplus.gem.gov.in/showbidDocument/8076841,01-08-2025 13:00:00
vijay,GEM/2025/B/6441148,"Goods Transport Services - Per MT - Food Grains, Regular RTC from Railhead Harmuty And OR FSD Bande",,Ministry of Consumer Affairs Food and Public Distribution - Department of Food and Public Distribution,24738,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8075938,https://bidplus.gem.gov.in/showbidDocument/8075938,01-08-2025 14:00:00
vijay,GEM/2025/B/6441477,"G10215AA,H40260,C30210,B20249L,B20190AA,B20166AA,D40200,B20166,C30285,H10500,G10160AA,C30212AA,C301",,Ministry of Defence - Department of Defence,79,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8076306,https://bidplus.gem.gov.in/showbidDocument/8076306,01-08-2025 12:00:00
vijay,GEM/2025/B/6438919,"Fluid Correction Pen (V2),Plain Copier Paper (V3) ISI Marked to IS 14490,Plain Copier Paper (V3) IS",,Ministry of Defence - Department of Military Affairs,3993,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8073409,https://bidplus.gem.gov.in/showbidDocument/8073409,01-08-2025 10:00:00
vijay,GEM/2025/B/6448082,"Front Wheel Bearing,Brake Pad,Fuse 60 A,Vane Pump,Head Gasket,Bearing Connecting Rod",,Ministry of Defence - Department of Military Affairs,19,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8083727,https://bidplus.gem.gov.in/showbidDocument/8083727,29-07-2025 19:00:00
vijay,GEM/2025/B/6448100,"Fuel Filter Assy,Fuel Filter,Oil Filter,Air Filter,AVR",,Ministry of Defence - Department of Military Affairs,10,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8083751,https://bidplus.gem.gov.in/showbidDocument/8083751,29-07-2025 20:00:00
vijay,GEM/2025/B/6448121,"Power Supply card,Imaging Unit,Hard Disc 1 TB,Bty 12V 7AH,Monitor Adaptor",,Ministry of Defence - Department of Military Affairs,7,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8083775,https://bidplus.gem.gov.in/showbidDocument/8083775,29-07-2025 20:00:00
vijay,GEM/2025/B/6448139,"Front Shock Absorber,Nozzle,4x4 Shifter Shaft,Solenoid Switch,Igntion Switch,Timing Belt,Relay 24V",,Ministry of Defence - Department of Military Affairs,20,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8083796,https://bidplus.gem.gov.in/showbidDocument/8083796,29-07-2025 20:00:00
vijay,GEM/2025/B/6448131,"Motherboard B760,Processor i5,Wired Mouse,DDR4 8GB Ram,Image Unit,DVD Writer Internal",,Ministry of Defence - Department of Military Affairs,10,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8083788,https://bidplus.gem.gov.in/showbidDocument/8083788,29-07-2025 20:00:00
vijay,GEM/2025/B/6450442,"False Celeing 2ft 2ft,Angle T,Main T,Cross T,GI Wire,Black Screw,Screw,PVC Gitti,Wall Panel,U Beedi",,Ministry of Defence - Department of Military Affairs,1669,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8086628,https://bidplus.gem.gov.in/showbidDocument/8086628,29-07-2025 16:00:00
vijay,GEM/2025/B/6435944,"Communication Tool Kit,Screwdriver for Network Repairing,LAN Tester,Tweezer Set,Magnifying table wi",,Ministry of Defence - Department of Military Affairs,7,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8070065,https://bidplus.gem.gov.in/showbidDocument/8070065,31-07-2025 09:00:00
vijay,GEM/2025/B/6435933,"Cutting Wheel 14 Inch,Cutting Wheel 4 Inch,Welding Googles,Measuring Tape,Laptop Tool Kit,Nose Plie",,Ministry of Defence - Department of Military Affairs,68,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8070052,https://bidplus.gem.gov.in/showbidDocument/8070052,31-07-2025 09:00:00
vijay,GEM/2025/B/6435980,"Vice Bench 200 MM,Nose Plier Set,Balancing Weigth for wheel balancer,Fast Battery Charger,Timing La",,Ministry of Defence - Department of Military Affairs,5,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8070110,https://bidplus.gem.gov.in/showbidDocument/8070110,31-07-2025 09:00:00
vijay,GEM/2025/B/6435962,"Cutting Wheel 4 Inch,Fuel Injector Tester,T Handle Socket Set,Re engraving Machine,Screwdriver Set,",,Ministry of Defence - Department of Military Affairs,39,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8070087,https://bidplus.gem.gov.in/showbidDocument/8070087,31-07-2025 09:00:00
vijay,GEM/2025/B/6385539,Monthly Basis Cab & Taxi Hiring Services - SUV; 2000 km x 320 hours; Local 24*7,,Ministry of Power - Hydro Power,1,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8013215,https://bidplus.gem.gov.in/showbidDocument/8013215,30-07-2025 15:00:00
