user_name,bid_no,name_of_work,category,department_name,quantity,emd,exemption_allowed,estimation_value,state,location,apply_mode,website_link,document_link,attachment_link,end_date
bujji,GEM/2025/B/6359048,"Seesaw for Playground (V2),Play Ground Merry Go Round  (V2),Outdoor Slide (V2),Garden Swings",,Ministry of Power - POWER GRID Corporation OF INDIA Limited,8,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7983144,https://bidplus.gem.gov.in/showbidDocument/7983144,30-07-2025 11:00:00
bujji,GEM/2025/B/6429427,"Cartridge 803 Black,Cartridge 803 Color,Fuser Assy,Drum Unit,Drum Unit Power,Ram DDR 8 GB,TFT Monit",,Ministry of Defence - Department of Military Affairs,13,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8062875,https://bidplus.gem.gov.in/showbidDocument/8062875,29-07-2025 16:00:00
bujji,GEM/2025/B/6429617,"Bty 12V 7AH,Teflon,Roller,DVD Writter,Laser Sensor Unit,SSD 512 GB,Processor 1512 Gen,Mother Board,",,Ministry of Defence - Department of Military Affairs,31,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8063079,https://bidplus.gem.gov.in/showbidDocument/8063079,29-07-2025 17:00:00
bujji,GEM/2025/B/6429856,"Winax Server,Mother Board,Processor,Bty 12V 7AH,Processor i7 12th",,Ministry of Defence - Department of Military Affairs,9,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8063332,https://bidplus.gem.gov.in/showbidDocument/8063332,29-07-2025 17:00:00
bujji,GEM/2025/B/6501721,Floor Mounted Horizontal Profile projector,,Ministry of Defence - Department of Military Affairs,1,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8144662,https://bidplus.gem.gov.in/showbidDocument/8144662,30-07-2025 12:00:00
bujji,GEM/2025/B/6376749,"NVR 4 CH CP CAMERA,CCTV CAMERA,CP PLUS 4 PORT POE SWITCH,TP LINK WIFI EXTENDER,DLINK CAT 6 305 MTR,",,Ministry of Defence - Department of Military Affairs,90,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8003353,https://bidplus.gem.gov.in/showbidDocument/8003353,31-07-2025 11:00:00
bujji,GEM/2025/B/6447751,"Brake Shoe Assy,Brake Pad,Speedo Cable,Clutch Cable,Indicator Assy Front,Indicator Assy Rear,Chain ",,Ministry of Defence - Department of Military Affairs,39,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8083368,https://bidplus.gem.gov.in/showbidDocument/8083368,31-07-2025 13:00:00
bujji,GEM/2025/B/6447546,"MCB 40 Amp,Ejector Nozzle,Exhaust Fan Motor Assy,Oil Filter,Fuel Filter,Air Filter,Eng Mtg Pad,Fuel",,Ministry of Defence - Department of Defence,31,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8083141,https://bidplus.gem.gov.in/showbidDocument/8083141,31-07-2025 11:00:00
bujji,GEM/2025/B/6448082,"Front Wheel Bearing,Brake Pad,Fuse 60 A,Vane Pump,Head Gasket,Bearing Connecting Rod",,Ministry of Defence - Department of Military Affairs,19,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8083727,https://bidplus.gem.gov.in/showbidDocument/8083727,29-07-2025 19:00:00
bujji,GEM/2025/B/6448100,"Fuel Filter Assy,Fuel Filter,Oil Filter,Air Filter,AVR",,Ministry of Defence - Department of Military Affairs,10,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8083751,https://bidplus.gem.gov.in/showbidDocument/8083751,29-07-2025 20:00:00
bujji,GEM/2025/B/6435980,"Vice Bench 200 MM,Nose Plier Set,Balancing Weigth for wheel balancer,Fast Battery Charger,Timing La",,Ministry of Defence - Department of Military Affairs,5,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8070110,https://bidplus.gem.gov.in/showbidDocument/8070110,31-07-2025 09:00:00
bujji,GEM/2025/B/6435962,"Cutting Wheel 4 Inch,Fuel Injector Tester,T Handle Socket Set,Re engraving Machine,Screwdriver Set,",,Ministry of Defence - Department of Military Affairs,39,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8070087,https://bidplus.gem.gov.in/showbidDocument/8070087,31-07-2025 09:00:00
bujji,GEM/2025/B/6385539,Monthly Basis Cab & Taxi Hiring Services - SUV; 2000 km x 320 hours; Local 24*7,,Ministry of Power - Hydro Power,1,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8013215,https://bidplus.gem.gov.in/showbidDocument/8013215,30-07-2025 15:00:00
bujji,GEM/2025/B/6435633,"Assy Prop Shaft Complete Front,Assy Propeller shaft front from Aux GB to frt axle,Crown wheel,Tail ",,Ministry of Defence - Department of Defence,13,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8069720,https://bidplus.gem.gov.in/showbidDocument/8069720,30-07-2025 21:00:00
bujji,GEM/2025/B/6436005,"Pilot V5 Pen Blue,Pilot V5 Pen Red,Pilot V5 pen Ink Blue,Pilot V5 Pen Ink Red,Add Gel Pen Black,Add",,Ministry of Defence - Department of Defence,37626,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8070139,https://bidplus.gem.gov.in/showbidDocument/8070139,30-07-2025 17:00:00
bujji,GEM/2025/B/6447546,"MCB 40 Amp,Ejector Nozzle,Exhaust Fan Motor Assy,Oil Filter,Fuel Filter,Air Filter,Eng Mtg Pad,Fuel",,Ministry of Defence - Department of Defence,31,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8083141,https://bidplus.gem.gov.in/showbidDocument/8083141,31-07-2025 11:00:00
